fix_commit_hash,bug_id,bug_type,file_path,project_name
ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666,"1","Classical",qiskit_ignis/tomography/fitters/cvx_fit.py,qiskit-ignis
e696fee3e52550f50fb240a4c6356c61c9f01725,"10","Quantum",qiskit/ignis/characterization/calibrations/ibmq_utils.py,qiskit-ignis
dc7a2413e6c373455c00cff51e37eaaa17a4a7ac,"1010","Quantum",src/controllers/controller.hpp,qiskit-aer
dc7a2413e6c373455c00cff51e37eaaa17a4a7ac,"1010","Quantum",src/controllers/qasm_controller.hpp,qiskit-aer
7de864cc989b354d0ad1febbd62b891270927b6b,"1012","Classical",releasenotes/notes/fix-diagonal-unitary-check-a726500ffda6c74b.yaml,qiskit-aer
7de864cc989b354d0ad1febbd62b891270927b6b,"1012","Classical",src/framework/operations.hpp,qiskit-aer
7de864cc989b354d0ad1febbd62b891270927b6b,"1012","Classical",test/terra/backends/qasm_simulator/qasm_unitary_gate.py,qiskit-aer
7de864cc989b354d0ad1febbd62b891270927b6b,"1012","Classical",test/terra/reference/ref_diagonal_gate.py,qiskit-aer
f3b4303f478ff84bf8da15761827287d3a2f16e4,"1019","Quantum",releasenotes/notes/fix-density-matrix-diagonal-bb8ce049e2fa3c64.yaml,qiskit-aer
f3b4303f478ff84bf8da15761827287d3a2f16e4,"1019","Quantum",src/simulators/density_matrix/densitymatrix_state.hpp,qiskit-aer
0eab74b57f2704ad0893132b6c5f214603550c39,"1022","Quantum",src/simulators/density_matrix/densitymatrix_thrust.hpp,qiskit-aer
01196202394aed89f43d3044d64eb9e41f7d583c,"104","Classical",.github/CHANGELOG.md,pennylane
01196202394aed89f43d3044d64eb9e41f7d583c,"104","Classical",pennylane/devices/default_qubit.py,pennylane
01196202394aed89f43d3044d64eb9e41f7d583c,"104","Classical",pennylane/devices/default_qubit_tf.py,pennylane
01196202394aed89f43d3044d64eb9e41f7d583c,"104","Classical",tests/devices/test_default_qubit.py,pennylane
01196202394aed89f43d3044d64eb9e41f7d583c,"104","Classical",tests/devices/test_default_qubit_autograd.py,pennylane
01196202394aed89f43d3044d64eb9e41f7d583c,"104","Classical",tests/devices/test_default_qubit_tf.py,pennylane
48498dd0edc4e1ed1ee4bb287edd89541af104b2,"1057","Classical",releasenotes/notes/fix-c-if-large-register-79d6649395e57ff5.yaml,qiskit-aer
48498dd0edc4e1ed1ee4bb287edd89541af104b2,"1057","Classical",src/framework/creg.hpp,qiskit-aer
48498dd0edc4e1ed1ee4bb287edd89541af104b2,"1057","Classical",src/framework/utils.hpp,qiskit-aer
48498dd0edc4e1ed1ee4bb287edd89541af104b2,"1057","Classical",test/terra/backends/qasm_simulator/qasm_conditional.py,qiskit-aer
48498dd0edc4e1ed1ee4bb287edd89541af104b2,"1057","Classical",test/terra/backends/statevector_simulator/statevector_basics.py,qiskit-aer
48498dd0edc4e1ed1ee4bb287edd89541af104b2,"1057","Classical",test/terra/reference/ref_conditionals.py,qiskit-aer
