Authors,Bug ID,Bug Type,Commits,Components,Dates,File,Hash,Line,Repo,Lifetime,Number of Authors,Number of times modified
[],1012.0,Classical,[], #Unary Operator#Constant#List,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,82.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,83.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,84.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Constant#Tuple#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,85.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,86.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Assignment#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,87.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Constant#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,88.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Constant,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,25.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Constant,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,26.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], ,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,27.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Function Call#Assignment#Constant,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,28.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], ,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,29.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Function Call#Assignment#Constant,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,30.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Assignment#Tuple,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,31.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], ,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,32.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Assignment#Tuple,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,33.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], ,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,34.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], ,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,35.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
['Christopher J. Wood '],1012.0,Classical,['81ef9533ba497bbc258c0a086691dd20384883dd'], #Function Call#Assignment,"[datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,36.0,qiskit-aer,"-1 day, 23:59:59.999999",1,1
"['Christopher J. Wood ', 'Christopher J. Wood ']",1012.0,Classical,"['7de864cc989b354d0ad1febbd62b891270927b6b', '81ef9533ba497bbc258c0a086691dd20384883dd']", #Function Call#Attribute,"[datetime.datetime(2020, 4, 20, 16, 10, 59), datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,37.0,qiskit-aer,"11 days, 23:22:28",1,2
"['Christopher J. Wood ', 'Christopher J. Wood ']",1012.0,Classical,"['7de864cc989b354d0ad1febbd62b891270927b6b', '81ef9533ba497bbc258c0a086691dd20384883dd']", #Function Call#Unary Operator#Constant#List#Attribute,"[datetime.datetime(2020, 4, 20, 16, 10, 59), datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,38.0,qiskit-aer,"11 days, 23:22:28",1,2
"['Christopher J. Wood ', 'Christopher J. Wood ']",1012.0,Classical,"['7de864cc989b354d0ad1febbd62b891270927b6b', '81ef9533ba497bbc258c0a086691dd20384883dd']", #Function Call#Attribute,"[datetime.datetime(2020, 4, 20, 16, 10, 59), datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,39.0,qiskit-aer,"11 days, 23:22:28",1,2
"['Christopher J. Wood ', 'Christopher J. Wood ']",1012.0,Classical,"['7de864cc989b354d0ad1febbd62b891270927b6b', '81ef9533ba497bbc258c0a086691dd20384883dd']", ,"[datetime.datetime(2020, 4, 20, 16, 10, 59), datetime.datetime(2020, 4, 8, 16, 48, 31)]",test/terra/reference/ref_diagonal_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,40.0,qiskit-aer,"11 days, 23:22:28",1,2
