project_full_name,fix_commit_hash,bug_id,bug_type,fix_timestamp,issue_url,issue_date,issue_timestamp
QE-Lab/OpenQL,9a443a2ddd15349d2750edcf5b9cbbbef82e5929,1254,Quantum,1510875200,https://github.com/QuTech-Delft/OpenQL/issues/107,2017-11-16T12:02:47Z,1510833767
quantumlib/Cirq,342bcc3cfe455e403dbf51a3bf71e85211c3cf36,1331,Quantum,1531868108,https://github.com/quantumlib/Cirq/issues/684,2018-07-16T10:02:48Z,1531735368
quantumlib/Cirq,94181e2784bf9a7b4259503db8a4f6808325bcf2,1372,Quantum,1550269735,https://github.com/quantumlib/Cirq/issues/1321,2019-01-27T21:18:39Z,1548623919
PennyLaneAI/pennylane,ee9436ca19e40fa20fac83d1da3c4fd6571fb48c,138,Quantum,1618892524,https://github.com/PennyLaneAI/pennylane/pull/1232,2021-04-17T22:05:47Z,1618697147
quantumlib/Cirq,a3ab283cecf50c9e74e6f5a586e07f63e55cac8a,1417,Quantum,1567582463,https://github.com/quantumlib/Cirq/issues/2034,2019-08-27T20:44:39Z,1566938679
quantumlib/Cirq,4dae9b2c766fb9cd5a24bce655020b63c0ed47ac,1464,Quantum,1580934513,https://github.com/quantumlib/Cirq/issues/2738,2020-02-05T01:37:10Z,1580866630
PennyLaneAI/pennylane,614db57b02536bb09fbfbae853ceff8878b928af,154,Quantum,1624890547,https://github.com/PennyLaneAI/pennylane/pull/1426,2021-06-22T16:38:45Z,1624379925
PennyLaneAI/pennylane,c9745b96717854aeba77ba9b43e8144115f63a28,159,Quantum,1629210450,https://github.com/PennyLaneAI/pennylane/pull/1533,2021-08-16T14:20:02Z,1629123602
Qiskit/qiskit-ignis,838bc0f750d63b4ea14789fd174f9a10f51f61c2,16,Quantum,1587061256,https://github.com/Qiskit/qiskit-ignis/issues/386,2020-04-10T19:54:52Z,1586548492
quantumlib/Cirq,504bdbb9bb30249d85ecf7ba199b047150ee33f3,1612,Quantum,1625538399,https://github.com/quantumlib/Cirq/issues/4287,2021-07-05T14:06:16Z,1625493976
unitaryfund/mitiq,4d260bd6545c20f3b1fefc2c843fb67d1296cb45,1702,Quantum,1612192717,https://github.com/unitaryfund/mitiq/issues/521,2021-01-30T22:59:49Z,1612047589
aspuru-guzik-group/tequila,be70211e1b4cad4326f01f9b2f790643255a7aaa,1738,Quantum,1613059605,https://github.com/tequilahub/tequila/pull/119,2021-02-10T12:58:36Z,1612961916
aspuru-guzik-group/tequila,0637f83c354c70bac95acef5a41ffa7cf3c48e3b,1744,Quantum,1626978911,https://github.com/tequilahub/tequila/issues/165,2021-07-22T16:31:59Z,1626971519
xanaduai/strawberryfields,dd7668c30c0e20730ea1d80cab91c7247e71af5f,1820,Quantum,1532654646,https://github.com/XanaduAI/strawberryfields/pull/27,2018-07-26T15:04:10Z,1532617450
xanaduai/strawberryfields,bcbafdd6c98dee67f4a1e3265a1a9c6a6117c81d,1839,Quantum,1571780616,https://github.com/XanaduAI/strawberryfields/pull/224,2019-10-22T13:42:36Z,1571751756
xanaduai/strawberryfields,2e6d558e92bcd28da0ac76d88a7eb6d59667cc69,1854-5,Quantum,1603160684,https://github.com/XanaduAI/strawberryfields/issues/467,2020-10-14T23:00:09Z,1602716409
xanaduai/strawberryfields,45309dcad0133d2c59a91c09ab294bef29a7a621,1864,Quantum,1628201963,https://github.com/XanaduAI/strawberryfields/issues/607,2021-07-13T11:08:32Z,1626174512
rigetti/pyquil,c147eb4f9417af72b5f396b2859506524ecf5bf4,1959,Quantum,1525381111,https://github.com/rigetti/pyquil/issues/384,2018-04-11T18:08:57Z,1523470137
dwavesystems/dwave-system,e83f632479ec51e425f62305f58ecf284b557a7e,2043,Quantum,1561048804,https://github.com/dwavesystems/dwave-system/issues/196,2019-06-20T04:04:43Z,1561003483
dwavesystems/dwave-system,d0fd4c0163e984dfd2adae43f7bc7ee7f4edc829,2056,Quantum,1585328663,https://github.com/dwavesystems/dwave-system/issues/268,2020-02-26T16:55:06Z,1582736106
Qiskit/qiskit-terra,a18ef48c8a9fd0182064c81c0e7d79ad1c4c0ee6,225,Quantum,1521564737,https://github.com/Qiskit/qiskit-terra/issues/342,2018-03-15T17:14:02Z,1521134042
Qiskit/qiskit-terra,00d37c780dba447551e1e544a12b3aef10a43d53,255,Quantum,1528713060,https://github.com/Qiskit/qiskit-terra/issues/551,2018-06-08T11:48:15Z,1528458495
Qiskit/qiskit-ignis,439b3ee739fde633337f89b617c18821b25da0ad,26,Quantum,1596732695,https://github.com/Qiskit/qiskit-ignis/issues/465,2020-08-06T08:29:06Z,1596702546
Qiskit/qiskit-ignis,1f7b71999c28483064e91882ef1510ede23ba0e2,31,Quantum,1617022700,https://github.com/Qiskit/qiskit-ignis/issues/561,2021-03-11T09:36:05Z,1615455365
Qiskit/qiskit-terra,3c220265117f6d1a2a9661c7f01852b388ff5be9,514,Quantum,1575826677,https://github.com/Qiskit/qiskit-terra/issues/2704,2019-06-28T15:49:50Z,1561736990
Qiskit/qiskit-terra,32aba60331d6a6789e4656fb5c772d913e17389c,556,Quantum,1583937931,https://github.com/Qiskit/qiskit-terra/issues/3899,2020-02-27T06:05:34Z,1582783534
Qiskit/qiskit-terra,04f20797eaa1a460e405adb8333508cd73bc448b,663,Quantum,1598372566,https://github.com/Qiskit/qiskit-terra/pull/4755,2020-07-19T00:28:29Z,1595118509
Qiskit/qiskit-terra,b0d31257972f2c87cb4d549429372192d0e159e7,700,Quantum,1602282095,https://github.com/Qiskit/qiskit-terra/issues/4697,2020-07-14T16:26:38Z,1594743998
